Year,ISO2,ISO3,Country,ODB.2015.C.POLI,ODB.2015.C.MANAG,ODB.2013.C.DPL,ODB.2013.C.RTI,ODB.2013.C.INIT,ODB.2013.C.CSOC,ODB.2013.C.SUPIN,ODB.2013.C.CITY,ODB.2013.C.TRAIN,FH 2015,UN.OSI 2014,WB.NetUsers 2014,WEF.GCI.9.02 2015,WEF.GITR.8.01 2015,ODB.2013.I.GOV,ODB.2013.I.ACCOUNT,ODB.2013.I.ENV,ODB.2013.I.INC,ODB.2013.I.ECON,ODB.2013.I.ENTR,ODB.2013.D1,ODB.2013.D2,ODB.2013.D4,ODB.2013.D5,ODB.2013.D6,ODB.2013.D7,ODB.2013.D8,ODB.2013.D9,ODB.2013.D10,ODB.2013.D11,ODB.2013.D12,ODB.2013.D13,ODB.2013.D14,ODB.2013.D15,ODB.2013.D16
2015,PH,PHL,Philippines,7,3,7,2,7,6,4,2,5,63,0.48,39.69,5.07,3.89,2,2,0,1,2,2,65,5,15,95,5,15,15,60,15,15,55,15,40,15,90
2015,PL,POL,Poland,4,3,8,6,5,5,6,4,6,93,0.54,66.60,4.20,3.10,1,1,1,0,2,3,50,15,80,15,5,45,15,5,80,75,80,15,95,65,15
2015,PT,PRT,Portugal,2,3,8,5,5,5,4,2,4,97,0.64,64.59,5.62,4.70,1,0,2,1,1,1,80,5,80,15,5,15,15,15,80,65,80,15,60,80,80
2015,PY,PRY,Paraguay,2,2,2,2,4,5,4,0,4,65,0.23,43.00,4.05,2.98,0,1,0,0,0,1,0,15,5,80,5,5,15,5,5,5,5,0,5,80,80
2015,QA,QAT,Qatar,6,0,2,1,2,2,1,0,3,28,0.65,91.49,5.76,5.84,0,0,0,0,0,0,15,5,15,5,0,15,15,15,15,60,15,5,60,0,15
2015,RU,RUS,Russian Federation,4,5,5,5,5,4,3,5,5,23,0.71,70.52,4.25,3.82,1,1,0,0,1,2,15,15,60,15,5,15,15,15,65,60,55,40,55,15,65
2015,RW,RWA,Rwanda,4,1,3,3,3,2,1,0,3,25,0.51,10.60,4.97,5.75,1,0,0,1,0,1,65,5,65,65,5,15,15,0,15,80,80,5,80,60,15
2015,SA,SAU,Saudi Arabia,3,3,2,0,5,0,1,1,3,10,0.77,63.70,5.43,5.25,0,0,0,0,0,0,65,5,65,15,0,15,15,15,60,45,5,0,0,0,15
2015,SN,SEN,Senegal,0,0,6,1,0,2,0,0,2,78,0.31,17.70,5.04,3.99,0,0,0,0,0,0,55,5,75,15,5,15,15,0,15,15,15,5,0,5,15
2015,SG,SGP,Singapore,4,3,5,0,8,6,8,NA,7,51,0.99,82.00,5.71,5.91,1,1,1,2,2,3,65,15,80,65,5,15,15,65,80,80,80,95,80,15,15
2015,SL,SLE,Sierra Leone,2,1,3,4,5,3,0,0,0,65,0.05,2.10,3.46,3.90,0,0,0,0,0,0,0,0,15,15,5,5,5,0,15,15,15,15,0,15,5
2015,SK,SVK,Slovak Republic,4,4,8,6,6,7,2,1,3,90,0.49,79.98,4.81,3.29,2,3,1,0,1,3,15,15,80,65,5,15,15,15,60,5,80,55,15,80,15
2015,SE,SWE,Sweden,6,6,9,8,8,8,6,8,5,99,0.70,92.52,5.96,4.97,2,3,5,3,2,5,50,50,80,15,5,50,15,80,95,95,90,80,80,95,5
2015,TH,THA,Thailand,1,1,2,4,3,3,5,1,3,33,0.44,34.89,4.86,3.49,0,0,0,0,0,0,5,5,80,15,5,15,15,15,75,60,0,15,15,15,15
2015,TN,TUN,Tunisia,2,1,5,5,5,6,1,5,4,79,0.64,46.16,4.45,3.68,4,1,0,0,1,1,5,5,80,15,5,15,15,15,75,55,75,80,40,55,15
2015,TR,TUR,Turkey,1,0,2,5,2,4,2,2,5,55,0.56,51.04,5.23,4.02,1,0,1,0,0,0,60,15,80,15,5,15,15,5,80,40,40,60,60,65,15
2015,TZ,TZA,Tanzania,1,0,2,1,5,1,1,0,4,63,0.30,4.86,3.80,3.61,0,0,0,0,0,0,5,5,65,15,5,15,15,0,15,50,50,15,5,5,15
2015,UG,UGA,Uganda,0,1,2,4,3,6,0,0,5,36,0.15,17.71,4.09,3.89,0,0,0,0,0,0,5,5,15,15,5,5,15,0,65,15,15,15,15,15,15
2015,UA,UKR,Ukraine,1,0,7,4,5,5,1,1,1,62,0.27,43.40,4.23,2.70,0,1,0,0,0,1,15,5,15,65,5,15,15,15,55,15,5,60,15,15,15
2015,UY,URY,Uruguay,5,3,9,7,6,6,7,4,5,98,0.85,61.46,4.32,3.96,4,4,0,0,2,4,60,95,95,95,5,5,15,95,75,95,65,15,65,80,95
2015,US,USA,United States of America,8,8,6,7,9,9,8,9,8,92,0.94,87.36,6.07,4.40,3,4,3,2,6,8,95,15,100,95,80,5,85,65,95,70,80,70,85,70,80
2015,VE,VEN,Venezuela,0,0,2,1,1,2,0,0,1,35,0.55,57.00,3.87,2.37,0,0,0,0,0,0,5,5,15,5,5,5,5,5,80,15,50,5,15,15,5
2015,VN,VNM,Vietnam,1,1,2,1,1,3,2,0,2,20,0.42,48.31,3.89,4.11,1,1,0,1,0,0,5,5,65,80,5,15,15,15,65,5,60,5,45,15,5
2015,YE,YEM,Yemen,0,0,1,1,0,1,0,0,1,25,0.31,22.55,3.65,2.32,0,0,0,0,0,0,15,5,15,15,0,15,15,0,15,15,5,5,5,15,15
2015,ZA,ZAF,South Africa,0,1,7,6,3,3,3,3,4,81,0.39,49.00,5.43,3.23,0,0,1,2,0,5,15,5,15,15,5,15,15,15,65,15,15,80,15,65,15
2015,ZM,ZMB,Zambia,0,1,4,0,0,0,0,0,2,60,0.14,17.34,4.68,4.21,0,0,0,0,0,0,5,5,15,15,5,5,15,0,15,15,15,5,0,15,15
2015,ZW,ZWE,Zimbabwe,0,0,3,2,1,0,0,0,2,28,0.31,19.89,4.09,3.24,0,0,0,0,0,0,5,5,15,15,5,5,15,0,15,15,15,15,0,15,0
